iter	Passed	Remaining
0	8	8568
1	15	7490
2	20	6879
3	27	6856
4	32	6565
5	40	6784
6	46	6580
7	53	6605
8	59	6570
9	64	6397
10	68	6176
11	73	6043
12	78	5978
13	84	5936
14	89	5871
15	95	5872
16	99	5766
17	104	5698
18	109	5645
19	113	5557
20	117	5480
21	123	5504
22	128	5459
23	132	5393
24	136	5337
25	141	5286
26	145	5229
27	149	5184
28	153	5149
29	160	5194
30	165	5171
31	169	5135
32	174	5102
33	178	5065
34	182	5032
35	187	5025
36	192	4999
37	196	4970
38	201	4964
39	206	4955
40	210	4927
41	215	4910
42	219	4886
43	224	4883
44	231	4922
45	236	4908
46	241	4888
47	245	4867
48	251	4877
49	256	4877
50	264	4917
51	270	4922
52	274	4895
53	279	4903
54	286	4919
55	290	4894
56	295	4891
57	300	4888
58	305	4865
59	309	4848
60	313	4830
61	318	4813
62	322	4794
63	326	4780
64	330	4760
65	335	4746
66	339	4732
67	344	4719
68	348	4705
69	353	4702
70	358	4689
71	363	4687
72	368	4677
73	373	4679
74	378	4662
75	382	4651
76	387	4645
77	391	4630
78	395	4614
79	401	4613
80	405	4600
81	409	4585
82	413	4568
83	418	4559
84	421	4541
85	425	4527
86	430	4513
87	434	4502
88	438	4485
89	441	4468
90	446	4456
91	451	4453
92	494	4824
93	502	4841
94	508	4844
95	515	4856
96	520	4849
97	525	4833
98	529	4817
99	533	4802
100	537	4788
101	542	4775
102	547	4772
103	553	4771
104	559	4773
105	568	4791
106	572	4780
107	578	4780
108	584	4776
109	590	4776
110	596	4775
111	600	4760
112	604	4744
113	609	4736
114	614	4728
115	618	4714
116	622	4699
117	627	4692
118	632	4681
119	636	4667
120	640	4654
121	645	4647
122	649	4631
123	653	4617
124	657	4605
125	664	4610
126	670	4607
127	674	4595
128	680	4596
129	685	4584
130	689	4572
131	693	4560
132	698	4556
133	704	4550
134	708	4539
135	716	4550
136	721	4543
137	725	4533
138	731	4528
139	735	4515
140	739	4504
141	744	4500
142	749	4490
143	753	4477
144	757	4466
145	763	4468
146	768	4458
147	773	4450
148	778	4445
149	783	4439
150	787	4426
151	792	4418
152	797	4414
153	801	4401
154	805	4390
155	809	4381
156	814	4370
157	818	4359
158	822	4352
159	829	4357
160	834	4348
161	838	4337
162	844	4336
163	848	4325
164	853	4317
165	858	4311
166	864	4311
167	868	4302
168	874	4299
169	879	4293
170	885	4293
171	890	4288
172	896	4286
173	901	4277
174	905	4270
175	910	4263
176	914	4254
177	920	4251
178	927	4252
179	931	4242
180	935	4233
181	940	4228
182	945	4221
183	950	4214
184	955	4210
185	961	4206
186	965	4199
187	972	4199
188	978	4199
189	984	4196
190	997	4225
191	1003	4223
192	1010	4225
193	1016	4223
194	1024	4228
195	1033	4239
196	1038	4231
197	1043	4228
198	1049	4224
199	1054	4218
200	1060	4215
201	1065	4209
202	1070	4202
203	1076	4201
204	1081	4192
205	1086	4187
206	1093	4187
207	1097	4179
208	1101	4170
209	1107	4165
210	1111	4157
211	1116	4148
212	1122	4148
213	1127	4140
214	1131	4131
215	1136	4125
216	1141	4119
217	1145	4109
218	1150	4104
219	1157	4102
220	1161	4093
221	1166	4088
222	1172	4083
223	1176	4075
224	1180	4066
225	1186	4064
226	1191	4055
227	1196	4050
228	1201	4045
229	1205	4036
230	1209	4027
231	1213	4018
232	1219	4013
233	1225	4010
234	1230	4005
235	1237	4007
236	1244	4007
237	1251	4005
238	1256	4002
239	1261	3994
240	1266	3988
241	1271	3982
242	1275	3973
243	1279	3965
244	1285	3962
245	1291	3958
246	1296	3952
247	1302	3950
248	1307	3942
249	1311	3933
250	1316	3927
251	1321	3921
252	1325	3913
253	1329	3905
254	1335	3902
255	1339	3893
256	1343	3884
257	1348	3878
258	1352	3868
259	1356	3860
260	1361	3855
261	1368	3853
262	1372	3847
263	1377	3839
264	1382	3833
265	1386	3825
266	1390	3816
267	1395	3811
268	1401	3807
269	1405	3800
270	1409	3792
271	1414	3786
272	1419	3779
273	1423	3772
274	1427	3764
275	1432	3758
276	1436	3750
277	1440	3742
278	1445	3735
